화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
가평군종합운동장,N,1,00:00~24:00,가평군 시설관리공단,3,0,,경기도 가평군 가평읍 대곡리 316번지,2,공중화장실,6,127.507218,0,경기도 가평군 가평읍 문화로 131,0,0,37.8248742,1,,2018-08-07
가평군 축구전용구장,N,1,09:00~21:00,가평군 시설관리공단,3,0,,경기도 가평군 가평읍 대곡리 316번지,6,공중화장실,3,127.507218,0,경기도 가평군 가평읍 문화로 131,0,0,37.8248742,1,,2018-08-07
가평테니스장,N,0,09:00~21:00,가평군 시설관리공단,3,0,,경기도 가평군 가평읍 대곡리 316번지,3,공중화장실,2,127.507218,0,경기도 가평군 가평읍 문화로 131,0,0,37.8248742,0,,2018-08-07
가평체육관,N,1,09:00~21:00,가평군 시설관리공단,6,0,,경기도 가평군 가평읍 대곡리 316번지,8,공중화장실,8,127.507218,0,경기도 가평군 가평읍 문화로 131,0,0,37.8248742,0,,2018-08-07
싸이클 테마 화장실,N,0,09:00~21:00,가평군 건설과,3,0,,경기도 가평군 가평읍 상색리 603,3,공중화장실,3,127.4701088,0,경기도 가평군 가평읍 상색리 603,0,0,37.78845814,0,,2018-08-07
가평군청,N,1,09:00~21:00,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,3,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
가평군청,N,1,09:00~2100,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,4,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
가평군청,N,1,09:00~21:00,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,4,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
가평군청,N,1,09:00~21:00,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,3,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
가평군청 별관,N,0,09:00~21:00,가평군청 경제과,1,0,,경기도 가평군 가평읍 읍내리 513번지,2,공중화장실,2,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,0,,2018-08-07
연인산 도립공원 관리사무소,N,0,09:00~21:00,연인산 도립공원 관리사무소,2,0,,경기도 가평군 가평읍 승안리 297-57번지,2,공중화장실,2,127.4854683,0,경기도 가평군 가평읍 용추로 229-41,0,0,37.84770487,0,,2018-08-07
연인산 도립공원 탐방안내소 주차장,N,0,09:00~21:00,연인산 도립공원 관리사무소,2,0,,경기도 가평군 가평읍 승안리 297-57번지,4,공중화장실,2,127.4854683,0,경기도 가평군 가평읍 용추로 229-41 (승안리),0,0,37.84770487,0,,2018-08-07
자라섬 캠핑장(B),N,1,09:00~21:00,가평군 시설관리공단,4,0,,경기도 가평군 가평읍 대곡리 27-14번지,7,공중화장실,6,127.5208313,0,경기도 가평군 가평읍 자라섬로 60,0,0,37.82090507,1,,2018-08-07
자라섬 캠핑장(A),N,1,09:00~21:00,가평군 시설관리공단,4,0,,경기도 가평군 가평읍 대곡리 27-14번지,7,공중화장실,6,127.5208313,0,경기도 가평군 가평읍 자라섬로 60,0,0,37.82090507,1,,2018-08-07
자라섬 인라인 화장실,N,1,09:00~21:00,가평군 시설관리공단,1,0,,경기도 가평군 가평읍 대곡리 27-14번지,3,공중화장실,2,127.5208313,0,경기도 가평군 가평읍 자라섬로 60,0,0,37.82090507,1,,2018-08-07
유명산 공중화장실,N,1,09:00~21:00,가평군청 환경과,3,0,,경기도 가평군 설악면 가일리 225-4번지,4,개방화장실,3,127.4886936,0,경기도 가평군 설악면 유명산길 101-30,0,0,37.59218187,0,,2018-08-07
설악면 체육공원,N,1,09:00~21:00,가평군 문화체육과,3,0,,경기도 가평군 설악면 선촌리 32-4번지,6,공중화장실,4,127.4904747,0,경기도 가평군 설악면 자잠로 53-88,0,0,37.68458636,1,,2018-08-07
설악 도서관,N,1,09:00~21:00,가평군 평생교육사업소,5,0,,경기도 가평군 설악면 신천리 516-7번지,9,공중화장실,5,127.4909196,0,경기도 가평군 설악면 자잠로 65,0,0,37.68327813,0,,2018-08-07
설악 119지역대,Y,0,09:00~21:00,가평소방서,1,0,,경기도 가평군 설악면 신천리 156-1번지,0,공중화장실,1,127.4945552,0,경기도 가평군 설악면 한서로 12 (신천리),0,0,37.6758932,0,,2018-08-07
설악면 복지회관,N,1,09:00~21:00,설악면사무소,4,0,,경기도 가평군 설악면 신천리 156-5번지,8,공중화장실,4,127.4949705,0,경기도 가평군 설악면 한서로 18-16,0,0,37.67527882,0,,2018-08-07
위곡리 보건진료소,Y,0,09:00~21:00,가평군 보건소,1,0,,경기도 가평군 설악면 위곡리 719-2번지,0,공중화장실,1,127.5149179,0,경기도 가평군 설악면 한서로 227,0,0,37.66995034,0,,2018-08-07
설악면 보건지소,N,0,09:00~21:00,가평군 보건소,1,0,,경기도 가평군 설악면 신천리 156-1번지,2,공중화장실,1,127.4945552,0,경기도 가평군 설악면 한서로 6,0,0,37.6758932,0,,2018-08-07
국토주유소,N,0,09:00~21:00,국토주유소,1,0,,경기도 가평군 조종면 현리 444-10번지,2,개방화장실,2,127.3413784,0,경기도 가평군 조종면 비득재길 120,0,0,37.81248495,0,,2018-08-07
조종면 보건지소,N,1,09:00~21:00,가평군 보건소,1,0,,경기도 가평군 조종면 현리 567-7번지,1,공중화장실,1,127.3532591,0,경기도 가평군 조종면 조종내길 71,0,0,37.81772973,0,,2018-08-07
조종생활체육공원,N,0,09:00~21:00,가평군 시설관리공단,1,0,,경기도 가평군 조종면 현리 420-12번지,3,공중화장실,2,127.3523171,0,경기도 가평군 조종면 조종희망로26번길 16,0,0,37.81786767,0,,2018-08-07
조종국민체육센타,N,0,09:00~21:00,가평군 시설관리공단,2,0,,경기도 가평군 조종면 현리 420-12번지,2,공중화장실,4,127.3523171,0,경기도 가평군 조종면 조종희망로26번길 16,0,0,37.81786767,0,,2018-08-07
조종면 도서관,N,1,09:00~21:00,조종도서관,2,0,,경기도 가평군 조종면 현리 420-6번지,4,공중화장실,4,127.3528978,0,경기도 가평군 조종면 조종희망로26번길 22,0,0,37.81818127,1,,2018-08-07
진흥여객 차고지,N,1,09:00~21:00,가평군 건설교통과,1,0,,경기도 가평군 조종면 현리 296-12번지,3,공중화장실,2,127.3461821,0,경기도 가평군 조종면 청군로 1294,0,0,37.81984075,0,,2018-08-07
동현주유소,N,0,09:00~21:00,동현주유소,1,0,,경기도 가평군 조종면 현리 320-1번지,2,공중화장실,1,127.3450705,0,경기도 가평군 조종면 청군로 1303,0,0,37.8201503,0,,2018-08-07
가평군청,N,1,09:00~21:00,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,3,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
가평군청,N,1,09:00~21:00,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,4,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
가평군청,N,1,09:00~2100,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,3,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
가평군청,N,1,09:00~21:00,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,3,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
가평군청,N,1,09:00~21:00,가평군청 경제과,3,0,,경기도 가평군 가평읍 읍내리 513번지,4,공중화장실,3,127.5096357,0,경기도 가평군 가평읍 석봉로 181,0,0,37.83128748,1,,2018-08-07
명보주유소,N,0,09:00~21:00,명보주유소,1,0,,경기도 가평군 가평읍 읍내리 745번지,1,공중화장실,1,127.5083275,0,경기도 가평군 가평읍 석봉로 237,0,0,37.83601399,0,,2018-08-07
농업기술센타,N,0,09:00~21:00,농업기술센타 기술계획과,2,0,,경기도 가평군 가평읍 승안리 100번지,2,공중화장실,5,127.4991359,0,경기도 가평군 가평읍 아랫마장길 59,0,0,37.84595432,0,,2018-08-07
