화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
군위중고등학교,N,0,(평일)09:00~18:00,군위중고등학교,37,0,,경상북도 군위군 군위읍 정리 292-1,55,공중화장실,27,128.5703559,0,,0,0,36.24544683,0,,2018-08-23
군위우체국,N,0,(평일)09:00~18:00,군위우체국,2,0,,경상북도 군위군 군위읍 서부리 56-1,3,공중화장실,4,128.566925,0,,0,0,36.23563024,0,,2018-08-23
고속도로군위(상)휴게소,N,1,연중무휴,중앙고속도로 군위(상)휴게소,12,0,,경상북도 군위군 군위읍 오곡리 446-2,33,공중화장실,16,128.5769479,0,,0,0,36.26746207,1,,2018-08-23
고속도로군위(하)휴게소,N,1,연중무휴,중앙고속도로 군위(하)휴게소,12,0,,경상북도 군위군 군위읍 오곡리 410-1,33,공중화장실,16,128.5743943,0,,0,0,36.26552774,1,,2018-08-23
남경주유소,Y,0,(평일주말)09:00~21:00,남경주유소,2,0,,경상북도 군위군 군위읍 오곡리 828-6,0,공중화장실,2,128.5735865,0,,0,0,36.26963293,0,,2018-08-23
군위휴게소(5번국도),N,0,연중무휴,군위휴게소,2,0,,경상북도 군위군 군위읍 정리 687,6,공중화장실,6,128.5712823,0,,0,0,36.25859783,0,,2018-08-23
군위교통,N,1,연중무휴,군위교통,2,0,,경상북도 군위군 군위읍 동부리 670-8,3,공중화장실,3,128.5686469,0,,0,0,36.23006774,0,,2018-08-23
동부주유소,N,0,(평일주말)09:00~21:00,동부주유소,2,0,,경상북도 군위군 군위읍 동부리 877,2,공중화장실,2,128.5676272,0,,0,0,36.22533773,0,,2018-08-23
청룡주유소(오곡휴게소),Y,0,(평일주말)09:00~21:00,청룡주유소,2,0,,경상북도 군위군 군위읍 오곡리 631-1,0,공중화장실,2,128.57834,0,,0,0,36.2786857,0,,2018-08-23
백령주유소,N,0,(평일주말)09:00~21:00,백령주유소,1,0,,경상북도 군위군 군위읍 정리 679,3,공중화장실,3,128.5715944,0,,0,0,36.25795936,0,,2018-08-23
유성주유소(구.희망주유소),N,0,(평일주말)09:00~21:00,유성주유소,1,0,,경상북도 군위군 군위읍 무성리 59,0,공중화장실,2,128.5744683,0,,0,0,36.18534001,0,,2018-08-23
군위버스터미널 옆(군위교통 옆),N,0,연중무휴,군위읍사무소,1,0,,경상북도 군위군 군위읍 동부리 670-3,1,공중화장실,1,128.5688501,0,,0,0,36.22977312,0,,2018-08-23
세교주유소,N,0,(평일주말)09:00~21:00,세교주유소,1,0,,경상북도 군위군 군위읍 금구리 877-6,1,공중화장실,2,128.5633978,0,,0,0,36.20259887,0,,2018-08-23
고속도로군위(상)휴게소 주유소,N,0,(평일주말)09:00~21:00,고속도로군위(상)휴게소 주유소,2,0,,경상북도 군위군 군위읍 오곡리 산67-1,2,공중화장실,3,128.5754989,0,,0,0,36.26512392,0,,2018-08-23
군위휴게소(5번국도) 주유소,N,0,(평일주말)09:00~21:00,군위휴게소(5번국도) 주유소,2,0,,경상북도 군위군 군위읍 정리 687,6,공중화장실,3,128.5712823,0,,0,0,36.25859783,0,,2018-08-23
소보면사무소,N,0,연중무휴,소보면사무소,2,0,,경상북도 군위군 소보면 송원리 619,3,공중화장실,3,128.4753438,0,,0,0,36.25506928,0,,2018-08-23
소보시장,N,0,연중무휴,소보면사무소,1,0,,경상북도 군위군 소보면 송원리 722,2,공중화장실,3,128.4790914,0,,0,0,36.25556725,0,,2018-08-23
소보보건지소,N,0,연중무휴,소보보건지소,2,0,,경상북도 군위군 소보면 송원리 703-5,2,공중화장실,2,128.4786834,0,,0,0,36.25564078,0,,2018-08-23
